currentPrice,previousClose,open,dayLow,dayHigh,bid,dividendYield,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,returnOnAssets,returnOnEquity,bookValue,priceToBook,volume,fiftyTwoWeekRange,marketCap,trailingPE,symbol,timestamp
484.0601,493.54,467.415,462.1,505.8451,482.25,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010730952,7827486,395.66 - 539.0,1046120759296,11.739215,BRK-B,2025-04-07 12:06:07.026039
483.27,493.54,467.415,462.1,505.8451,482.55,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010706803,7846915,395.66 - 539.0,1043766575104,11.712797,BRK-B,2025-04-07 12:07:09.388358
484.29,493.54,467.415,462.1,505.8451,482.85,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010729402,7854148,395.66 - 539.0,1045969567744,11.737519,BRK-B,2025-04-07 12:08:11.538628
484.33,493.54,467.415,462.1,505.8451,482.67,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010730288,7862959,395.66 - 539.0,1046055944192,11.738488,BRK-B,2025-04-07 12:09:14.210289
484.5975,493.54,467.415,462.1,505.8451,483.77,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010736214,7877823,395.66 - 539.0,1046633709568,11.744971,BRK-B,2025-04-07 12:10:16.370892
484.51,493.54,467.415,462.1,505.8451,483.37,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010734276,7897804,395.66 - 539.0,1046444769280,11.742851,BRK-B,2025-04-07 12:11:18.791035
484.23,493.54,467.415,462.1,505.8451,482.51,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010728072,7906906,395.66 - 539.0,1045840003072,11.736065,BRK-B,2025-04-07 12:12:20.944223
484.6611,493.54,467.415,462.1,505.8451,482.62,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010752487,7922064,395.66 - 539.0,1048220073984,11.7627735,BRK-B,2025-04-07 12:13:23.299398
486.6,493.54,467.415,462.1,505.8451,482.38,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.001078058,7936346,395.66 - 539.0,1050958692352,11.793506,BRK-B,2025-04-07 12:14:28.318421
486.63,493.54,467.415,462.1,505.8451,483.08,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010781245,7945371,395.66 - 539.0,1051023507456,11.794232,BRK-B,2025-04-07 12:15:31.152455
488.145,493.54,467.415,462.1,505.8451,487.55,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010814809,7961866,395.66 - 539.0,1054295588864,11.830951,BRK-B,2025-04-07 12:16:33.513502
487.0,493.54,467.415,462.1,505.8451,484.4,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010789442,7970642,395.66 - 539.0,1051822653440,11.8032,BRK-B,2025-04-07 12:17:35.705729
486.8,493.54,467.415,462.1,505.8451,484.31,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010785011,7989425,395.66 - 539.0,1051390640128,11.798352,BRK-B,2025-04-07 12:18:38.446662
487.6311,493.54,467.415,462.1,505.8451,483.26,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010803423,7997859,395.66 - 539.0,1053185671168,11.818496,BRK-B,2025-04-07 12:19:40.672140
